id,participant_code,full_payout_dollar,time_started,audit_rate_job1,points_earned_job1,declare_job1,got_audited_and_everything_declared_job1,got_audited_and_everything_not_declared_job1,payoff_job1,time_declare_job1,audit_rate_job2,points_earned_job2,declare_job2,got_audited_and_everything_declared_job2,got_audited_and_everything_not_declared_job2,payoff_job2,time_declare_job2,audit_rate_job3,points_earned_job3,declare_job3,got_audited_and_everything_not_declared_job3,got_audited_and_everything_declared_job3,payoff_job3,time_declare_job3,audit_rate_job4,points_earned_job4,declare_job4,got_audited_and_everything_not_declared_job4,got_audited_and_everything_declared_job4,payoff_job4,time_declare_job4,audit_rate_job5,points_earned_job5,declare_job5,got_audited_and_everything_not_declared_job5,got_audited_and_everything_declared_job5,payoff_job5,time_declare_job5,audit_rate_job6,points_earned_job6,declare_job6,got_audited_and_everything_not_declared_job6,got_audited_and_everything_declared_job6,payoff_job6,time_declare_job6,audit_rate_job7,points_earned_job7,declare_job7,got_audited_and_everything_not_declared_job7,got_audited_and_everything_declared_job7,payoff_job7,time_declare_job7,audit_rate_job8,points_earned_job8,declare_job8,got_audited_and_everything_not_declared_job8,got_audited_and_everything_declared_job8,payoff_job8,time_declare_job8,audit_rate_job9,points_earned_job9,declare_job9,got_audited_and_everything_not_declared_job9,got_audited_and_everything_declared_job9,payoff_job9,time_declare_job9,audit_rate_job10,points_earned_job10,declare_job10,got_audited_and_everything_not_declared_job10,got_audited_and_everything_declared_job10,payoff_job10,time_declare_job10,audit_rate_job11,points_earned_job11,declare_job11,got_audited_and_everything_not_declared_job11,got_audited_and_everything_declared_job11,payoff_job11,time_declare_job11,audit_rate_job12,points_earned_job12,declare_job12,got_audited_and_everything_not_declared_job12,got_audited_and_everything_declared_job12,payoff_job12,time_declare_job12,audit_rate_job13,points_earned_job13,declare_job13,got_audited_and_everything_not_declared_job13,got_audited_and_everything_declared_job13,payoff_job13,time_declare_job13,audit_rate_job14,points_earned_job14,declare_job14,got_audited_and_everything_not_declared_job14,got_audited_and_everything_declared_job14,payoff_job14,time_declare_job14,audit_rate_job15,points_earned_job15,declare_job15,got_audited_and_everything_not_declared_job15,got_audited_and_everything_declared_job15,payoff_job15,time_declare_job15,age,gender,male,occupation,education,country,usa,pay_taxes,safe_choice_a,understood_declare_income_different,understood_likelihood,declared_rules,think_declared,afraid_declared,more_money_not_declare,likelihood_audit,sequ,unemployed,econ_training
20,u8eqpcc4,2.16,2020-07-20 11:35:04.708662+00:00,5,23,23,0,0,14,31,5,35,35,0,0,21,6,5,23,23,0,0,14,7,5,21,21,0,0,13,3,5,24,24,0,0,14,3,20,28,28,0,0,17,5,20,30,30,0,0,18,3,20,24,24,0,0,14,4,20,15,15,0,0,9,22,20,9,9,0,1,5,4,40,25,25,0,1,15,3,40,35,35,0,1,21,3,40,23,23,0,0,14,5,40,6,6,0,0,4,4,40,22,22,0,0,13,4,19,Male,1,"College, University, and Adult Education",6,UK,0,0,7,2,1,1,2,2,2,1,5-20-40,0,0
21,kjrc20ru,3.78,2020-07-27 19:10:53.613180+00:00,20,31,0,0,0,31,9,20,25,0,0,0,25,7,20,27,0,0,0,27,9,20,21,0,0,0,21,6,20,41,0,0,0,41,4,40,27,27,0,0,16,5,40,20,20,0,0,12,4,40,26,26,0,0,16,4,40,27,27,0,1,16,4,40,39,39,0,0,23,4,5,24,0,0,0,24,3,5,20,0,0,0,20,4,5,27,0,0,0,27,3,5,30,0,0,0,30,3,5,39,0,0,0,39,3,35,Female,0,Software,6,USA,1,1,7,1,1,1,6,7,6,1,20-40-5,0,0
22,l25g35rm,0.77,2020-07-27 19:30:44.610861+00:00,20,25,0,0,0,25,7,20,30,0,0,0,30,12,20,19,0,1,0,-27,6,20,30,0,0,0,30,4,20,33,33,0,0,20,6,40,17,17,0,1,10,6,40,20,0,1,0,-28,4,40,19,0,1,0,-27,5,40,30,0,1,0,-42,4,40,30,0,1,0,-42,4,5,16,0,0,0,16,5,5,25,0,0,0,25,4,5,17,0,0,0,17,3,5,30,0,0,0,30,4,5,30,0,0,0,30,4,31,Male,1,Unemployed,2,USA,1,1,4,7,7,2,2,4,7,3,20-40-5,1,0
23,2xayodin,2.4,2020-07-27 20:00:26.834421+00:00,20,27,27,0,0,16,5,20,30,30,0,0,18,3,20,27,27,0,0,16,2,20,27,27,0,0,16,3,20,25,25,0,0,15,3,40,25,25,0,0,15,3,40,20,20,0,0,12,3,40,23,23,0,0,14,2,40,30,30,0,1,18,2,40,25,25,0,0,15,3,5,28,28,0,0,17,2,5,20,20,0,1,12,2,5,23,23,0,0,14,3,5,30,30,0,0,18,3,5,23,23,0,0,14,3,50,Male,1,Software,7,USA,1,1,7,1,1,1,1,2,6,1,20-40-5,0,0
24,hzzt01c3,1.89,2020-07-27 20:19:49.403130+00:00,20,19,19,0,0,11,9,20,15,15,0,0,9,5,20,12,12,0,1,7,5,20,21,21,0,0,13,5,20,24,24,0,1,14,6,40,19,19,0,0,11,6,40,25,25,0,0,15,4,40,18,18,0,1,11,8,40,24,24,0,1,14,6,40,27,27,0,0,16,7,5,11,11,0,0,7,4,5,25,25,0,1,15,5,5,15,15,0,0,9,4,5,18,18,0,0,11,7,5,26,26,0,0,16,4,49,Female,0,Scientific or Technical Services,5,USA,1,1,7,1,1,1,1,1,1,2,20-40-5,0,0
25,km1n93st,2.16,2020-07-27 20:30:55.304774+00:00,20,26,0,0,0,26,11,20,10,10,0,0,6,14,20,19,0,0,0,19,5,20,30,0,0,0,30,3,20,26,0,1,0,-36,4,40,20,20,0,0,12,6,40,15,15,0,0,9,7,40,20,20,0,0,12,6,40,27,27,0,1,16,5,40,30,30,0,0,18,4,5,21,0,0,0,21,4,5,15,15,0,0,9,4,5,16,16,0,0,10,4,5,30,0,0,0,30,4,5,24,0,0,0,24,3,39,Male,1,Unemployed,5,USA,1,1,7,1,1,7,7,3,1,2,20-40-5,1,0
26,gmolmuw9,1.75,2020-07-27 20:52:10.741297+00:00,20,27,27,1,0,16,17,20,20,20,0,0,12,6,20,17,17,0,0,10,5,20,15,15,0,1,9,10,20,15,15,0,0,9,4,40,19,19,0,1,11,10,40,20,20,0,1,12,11,40,21,21,0,1,13,11,40,18,18,0,0,11,13,40,17,17,0,0,10,10,5,21,21,0,0,13,10,5,10,10,0,0,6,9,5,19,19,0,0,11,8,5,18,18,0,0,11,4,5,19,19,0,0,11,10,42,Female,0,Retail,8,USA,1,1,7,2,1,7,4,1,2,3,20-40-5,0,0
27,23gw5xsq,2.85,2020-07-27 20:55:41.341305+00:00,20,27,0,0,0,27,10,20,15,0,0,0,15,2,20,26,0,0,0,26,5,20,24,24,0,1,14,2,20,23,0,0,0,23,1,40,23,23,0,0,14,5,40,25,25,0,0,15,1,40,22,22,0,1,13,3,40,30,30,0,1,18,7,40,21,21,0,0,13,3,5,15,0,0,0,15,3,5,15,0,0,0,15,3,5,15,0,0,0,15,3,5,30,0,0,0,30,11,5,22,0,0,0,22,3,27,Female,0,Manufacturing,6,USA,1,1,5,1,7,7,3,1,5,2,20-40-5,0,0
28,qc6v6lk8,2.18,2020-07-27 21:18:51.455374+00:00,20,28,28,0,0,17,11,20,20,20,0,0,12,5,20,26,26,0,1,16,3,20,18,18,0,1,11,5,20,18,18,0,0,11,4,40,21,21,0,1,13,4,40,30,30,0,1,18,5,40,19,19,0,1,11,3,40,18,18,0,0,11,4,40,24,24,0,0,14,3,5,16,16,0,0,10,5,5,30,30,0,0,18,8,5,25,25,0,0,15,4,5,30,30,0,0,18,5,5,21,21,0,1,13,3,33,Male,1,Finance and Insurance,6,USA,1,1,5,1,1,3,6,1,1,2,20-40-5,0,1
29,rjx2rt1x,0.91,2020-07-27 21:31:27.264162+00:00,20,18,2,0,0,17,14,20,20,3,0,0,19,10,20,11,2,0,0,10,8,20,18,2,1,0,-21,6,20,9,0,0,0,9,6,40,5,0,0,0,5,4,40,35,35,0,1,21,7,40,9,0,1,0,-13,5,40,21,0,1,0,-29,7,40,10,10,0,0,6,5,5,14,0,1,0,-20,6,5,35,0,0,0,35,10,5,10,0,0,0,10,6,5,27,0,0,0,27,4,5,8,8,0,0,5,6,39,Male,1,Unemployed,8,USA,1,1,6,7,7,2,1,4,7,2,20-40-5,1,0
30,xudkph2y,3.3,2020-07-27 22:43:36.352092+00:00,20,29,0,0,0,29,16,20,20,0,0,0,20,6,20,29,0,0,0,29,5,20,30,0,0,0,30,4,20,20,0,0,0,20,4,40,25,25,0,1,15,12,40,30,30,0,1,18,6,40,26,26,0,1,16,4,40,24,24,0,0,14,4,40,19,19,0,1,11,4,5,29,29,0,0,17,5,5,25,0,0,0,25,5,5,25,0,0,0,25,3,5,30,0,0,0,30,3,5,21,0,0,0,21,4,29,Female,0,Unemployed,6,USA,1,1,6,1,1,7,7,6,1,2,20-40-5,1,0
31,e2cco1tt,2.22,2020-07-28 12:58:21.830901+00:00,20,25,25,1,0,15,6,20,35,35,0,0,21,5,20,17,17,0,0,10,4,20,30,30,0,0,18,4,20,15,15,0,0,9,3,40,18,18,0,0,11,4,40,25,25,0,0,15,4,40,19,19,0,0,11,4,40,27,2,0,0,26,4,40,11,1,0,0,11,4,5,22,22,0,0,13,5,5,30,30,0,0,18,2,5,15,15,0,1,9,4,5,30,30,0,0,18,3,5,11,11,0,0,7,4,37,Female,0,Health Care and Social Assistance,7,UK,0,1,5,1,1,1,7,7,7,1,20-40-5,0,0
32,wxw552e7,1.82,2020-07-28 13:00:43.402401+00:00,20,19,0,0,0,19,17,20,25,0,0,1,-35,8,20,18,18,0,0,11,3,20,24,24,0,0,14,6,20,25,15,1,0,-5,5,40,19,19,0,0,11,2,40,35,35,0,0,21,4,40,21,21,0,0,13,5,40,24,24,0,1,14,4,40,27,27,0,1,16,4,5,21,0,0,0,21,11,5,35,35,0,0,21,5,5,21,11,0,0,17,14,5,30,30,0,0,18,6,5,27,27,0,0,16,5,27,Female,0,Primary/Secondary (K-12) Education,6,UK,0,1,8,2,2,5,5,4,3,2,20-40-5,0,0
33,cj8z7imv,1.33,2020-07-28 13:19:36.989344+00:00,20,14,5,0,1,-10,43,20,5,5,0,0,3,9,20,10,10,0,0,6,5,20,15,15,0,0,9,5,20,15,15,0,0,9,4,40,15,15,0,1,9,6,40,10,10,0,0,6,6,40,11,11,0,0,7,5,40,21,21,0,0,13,5,40,15,15,0,1,9,4,5,13,13,0,0,8,5,5,35,35,0,0,21,6,5,11,11,0,0,7,5,5,27,27,0,0,16,5,5,16,16,0,0,10,4,39,Female,0,Other Industry,7,UK,0,1,8,2,1,2,4,3,6,4,20-40-5,0,0
34,jdk6o1hf,0.45,2020-07-28 14:14:06.841489+00:00,20,26,6,0,1,-24,55,20,35,0,0,1,-49,8,20,16,0,0,0,16,4,20,15,15,0,0,9,7,20,12,12,0,0,7,4,40,17,17,0,1,10,4,40,20,20,0,0,12,6,40,19,19,0,0,11,5,40,21,21,0,1,13,4,40,15,15,0,0,9,5,5,18,0,0,0,18,5,5,35,0,1,0,-49,3,5,14,0,0,0,14,3,5,30,0,0,0,30,3,5,14,14,0,0,8,3,27,Male,1,Unemployed,6,UK,0,0,9,1,1,7,7,7,1,2,20-40-5,1,0
35,9gs18jsd,2.95,2020-07-28 14:59:17.029292+00:00,20,24,0,0,0,24,5,20,30,30,0,0,18,9,20,15,0,0,0,15,4,20,24,0,0,0,24,4,20,15,15,0,0,9,4,40,17,17,0,1,10,5,40,30,30,0,0,18,4,40,17,0,0,0,17,4,40,18,0,0,0,18,4,40,16,16,0,0,10,4,5,19,0,0,0,19,4,5,35,0,0,0,35,3,5,19,0,0,0,19,2,5,30,0,0,0,30,4,5,19,0,0,0,19,5,22,Male,1,Unemployed,6,UK,0,0,6,1,1,7,7,7,1,2,20-40-5,1,0
36,xpq81yu5,2.47,2020-07-28 15:11:23.627520+00:00,20,24,24,0,0,14,8,20,35,35,0,0,21,7,20,19,19,0,1,11,5,20,30,30,0,0,18,6,20,28,28,0,1,17,33,40,20,20,0,0,12,6,40,35,35,0,1,21,6,40,20,20,0,0,12,6,40,30,30,0,1,18,18,40,29,29,0,1,17,7,5,19,19,0,0,11,7,5,35,35,0,0,21,8,5,15,15,0,0,9,6,5,30,30,0,0,18,5,5,29,29,0,0,17,61,33,Male,1,Unemployed,6,UK,0,1,4,1,1,1,1,1,1,2,20-40-5,1,0
37,sg1qxqgk,1.28,2020-07-28 18:04:51.235074+00:00,20,16,16,0,0,10,13,20,5,5,0,0,3,8,20,11,11,0,0,7,5,20,12,12,0,0,7,5,20,13,13,0,0,8,5,40,11,11,0,0,7,2,40,20,20,0,0,12,6,40,10,10,0,1,6,5,40,21,21,0,0,13,5,40,14,14,0,0,8,2,5,12,12,0,0,7,3,5,5,5,0,0,3,4,5,8,8,0,0,5,3,5,21,21,0,0,13,5,5,15,15,0,0,9,5,39,Female,0,Other Information Industry,5,UK,0,1,1,1,1,1,1,1,1,1,20-40-5,0,0
38,jxmx38d9,2.74,2020-07-28 18:09:51.238103+00:00,20,32,32,0,0,19,10,20,35,5,0,0,33,12,20,32,16,0,0,26,6,20,30,30,0,0,18,6,20,24,0,1,0,-34,7,40,32,0,1,0,-45,9,40,35,0,0,0,35,12,40,31,31,0,0,19,9,40,30,15,0,0,24,14,40,25,25,0,0,15,10,5,37,0,0,0,37,7,5,35,0,0,0,35,3,5,27,0,0,0,27,4,5,30,0,0,0,30,2,5,25,0,0,0,25,6,27,Male,1,Computer and Electronics ,6,UK,0,1,7,1,1,5,7,6,1,2,20-40-5,0,0
39,1ipohgbz,1.5,2020-07-28 20:03:45.710825+00:00,20,16,16,0,0,10,14,20,10,10,0,0,6,10,20,12,12,0,0,7,8,20,18,18,0,1,11,7,20,12,12,0,0,7,7,40,15,15,0,0,9,7,40,35,35,0,1,21,16,40,8,8,0,0,5,6,40,18,18,0,0,11,5,40,13,13,0,0,8,4,5,11,11,0,0,7,8,5,25,25,0,0,15,6,5,11,11,0,1,7,5,5,12,12,0,0,7,5,5,15,15,0,0,9,5,22,Female,0,Unemployed,4,UK,0,1,7,7,1,1,1,4,2,1,20-40-5,1,0
